State,Abbreviation,firstCaseDate,firstCountyDetected,stateOfEmergency,stayAtHome,DifFirstCaseStayHome,LessThan2Weeks,1/21/2020c,1/21/2020d,1/22/2020c,1/22/2020d,1/23/2020c,1/23/2020d,1/24/2020c,1/24/2020d,1/25/2020c,1/25/2020d,1/26/2020c,1/26/2020d,1/27/2020c,1/27/2020d,1/28/2020c,1/28/2020d,1/29/2020c,1/29/2020d,1/30/2020c,1/30/2020d,1/31/2020c,1/31/2020d,2/1/2020c,2/1/2020d,2/2/2020c,2/2/2020d,2/3/2020c,2/3/2020d,2/4/2020c,2/4/2020d,2/5/2020c,2/5/2020d,2/6/2020c,2/6/2020d,2/7/2020c,2/7/2020d,2/8/2020c,2/8/2020d,2/9/2020c,2/9/2020d,2/10/2020c,2/10/2020d,2/11/2020c,2/11/2020d,2/12/2020c,2/12/2020d,2/13/2020c,2/13/2020d,2/14/2020c,2/14/2020d,2/15/2020c,2/15/2020d,2/16/2020c,2/16/2020d,2/17/2020c,2/17/2020d,2/18/2020c,2/18/2020d,2/19/2020c,2/19/2020d,2/20/2020c,2/20/2020d,2/21/2020c,2/21/2020d,2/22/2020c,2/22/2020d,2/23/2020c,2/23/2020d,2/24/2020c,2/24/2020d,2/25/2020c,2/25/2020d,2/26/2020c,2/26/2020d,2/27/2020c,2/27/2020d,2/28/2020c,2/28/2020d,2/29/2020c,2/29/2020d,3/1/2020c,3/1/2020d,3/2/2020c,3/2/2020d,3/3/2020c,3/3/2020d,3/4/2020c,3/4/2020d,3/5/2020c,3/5/2020d,3/6/2020c,3/6/2020d,3/7/2020c,3/7/2020d,3/8/2020c,3/8/2020d,3/9/2020c,3/9/2020d,3/10/2020c,3/10/2020d,3/11/2020c,3/11/2020d,3/12/2020c,3/12/2020d,3/13/2020c,3/13/2020d,3/14/2020c,3/14/2020d,3/15/2020c,3/15/2020d,3/16/2020c,3/16/2020d,3/17/2020c,3/17/2020d,3/18/2020c,3/18/2020d,3/19/2020c,3/19/2020d,3/20/2020c,3/20/2020d,3/21/2020c,3/21/2020d,3/22/2020c,3/22/2020d,3/23/2020c,3/23/2020d,3/24/2020c,3/24/2020d,3/25/2020c,3/25/2020d,3/26/2020c,3/26/2020d,3/27/2020c,3/27/2020d,3/28/2020c,3/28/2020d,3/29/2020c,3/29/2020d,3/30/2020c,3/30/2020d,3/31/2020c,3/31/2020d,4/1/2020c,4/1/2020d,4/2/2020c,4/2/2020d,4/3/2020c,4/3/2020d,4/4/2020c,4/4/2020d,4/5/2020c,4/5/2020d,4/6/2020c,4/6/2020d,4/7/2020c,4/7/2020d
Illinois,IL,1/24/2020,Cook,3/9/2020,3/21/2020,57,FALSE,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,0,6,0,7,0,11,0,19,0,25,0,32,0,46,0,66,0,94,0,104,0,159,1,286,1,420,4,583,5,751,6,1047,9,1285,12,1535,16,1875,21,2538,26,3029,37,3547,50,4613,70,5070,84,5994,107,6980,146,7695,165,8904,211,10357,248,11276,282,12262,309,13549,384
Indiana,IN,3/6/2020,Marion,3/6/2020,3/6/2020,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,6,0,11,0,12,0,12,0,15,0,19,0,24,1,30,2,39,2,56,2,79,3,126,4,201,6,259,7,366,12,479,14,656,18,982,26,1232,31,1514,32,1788,35,2159,50,2565,65,3039,78,3437,102,3953,116,4411,127,4956,141,5507,173
Iowa,IA,3/8/2020,Johnson,3/9/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,13,0,14,0,16,0,17,0,18,0,22,0,22,0,29,0,38,0,44,0,45,0,68,0,90,0,105,0,124,1,145,1,179,1,235,3,298,3,336,4,424,6,498,7,549,9,614,11,699,11,786,11,868,22,946,25,1048,26
Kansas,KS,3/7/2020,Johnson,3/9/2020,3/30/2020,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,5,1,6,1,8,1,9,1,11,1,17,1,22,1,35,1,49,1,57,2,66,2,82,2,99,3,132,3,171,3,212,4,271,6,332,7,373,9,434,10,488,11,554,14,624,19,701,21,763,23,853,25,905,30
Kentucky,KY,3/6/2020,Fayette,3/6/2020,3/26/2020,20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,7,0,7,0,11,0,11,0,18,0,21,0,22,1,26,1,35,1,47,2,63,2,84,3,103,3,124,3,157,3,198,5,248,5,302,8,394,9,439,9,480,11,590,18,682,20,755,34,770,34,917,40,1048,44,1057,52,1289,66
Louisiana,LA,3/9/2020,Jefferson,3/11/2020,3/23/2020,14,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,13,0,14,0,36,0,77,1,103,2,137,3,196,5,280,7,392,10,537,10,763,16,837,20,1172,34,1388,46,1795,65,2305,83,2746,119,3315,137,3540,152,4025,186,5237,240,6424,273,9150,310,10297,370,12496,412,13010,477,14867,512,16284,582
Maine,ME,3/12/2020,Androscoggin,3/15/2020,4/2/2020,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,12,0,17,0,32,0,43,0,52,0,57,0,70,0,89,0,107,0,118,0,142,0,155,0,168,1,211,1,253,3,275,3,303,5,344,7,376,7,432,9,456,10,470,10,499,10,519,12
Maryland,MD,3/5/2020,Montgomery,3/5/2020,3/30/2020,25,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,6,0,9,0,13,0,13,0,18,0,27,0,32,0,39,0,57,0,85,1,108,1,150,2,195,3,245,3,290,3,349,4,423,4,581,4,775,5,1066,10,1244,11,1414,15,1662,18,1985,33,2331,36,2758,42,3125,54,3609,68,4045,92,4371,104
Massachusetts,MA,2/1/2020,Suffolk,3/10/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,3,0,8,0,13,0,28,0,41,0,92,0,95,0,108,0,123,0,138,0,164,0,197,0,218,0,256,0,328,0,413,1,525,2,646,5,777,5,1159,11,1838,15,2417,25,3240,35,4257,44,4955,48,5752,61,6620,89,7738,122,8966,154,10402,192,11736,216,12500,231,13837,260,15202,356
Michigan,MI,3/10/2020,Oakland,3/11/2020,3/24/2020,14,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,0,25,0,33,0,53,0,54,0,65,0,80,1,334,3,548,4,787,6,1033,9,1324,16,1791,24,2294,43,2878,63,3657,93,4635,111,5486,132,6508,197,7630,264,9293,336,10791,417,12670,478,14225,540,15635,616,17130,727,18852,845
